brand_name,parent_company_name,year,item_description,type_product,type_material,layer,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
2022-07-11 0:00:00,7/11 inc,2022,slurpee cup,food packaging,ps,single-layer,14.0,2022-09-17,2022-09-17,3.0,st. petersburg,florida,united states of america,north america,outdoor,coastal,110,-82.6695085,27.7703796,city,2,0.0181818181818182
2022-07-11 0:00:00,seven & i holdings,2022,cup,food packaging,ps,single-layer,12.0,2022-09-17,2022-09-17,6.0,st. louis,missouri,united states of america,north america,outdoor,freshwater,1657,-90.1910154,38.6280278,city,1,0.0006035003017501
24 hours,natura cosméticos s.a.,2021,deodorant,personal care,hdpe,single-layer,8.0,2021-02-23,2021-02-23,2.0,west bay,bay islands/ roatan,honduras,north america,outdoor,coastal,653,-86.5977278,16.2751591,city,7,0.0107197549770291
3-in-one,wd-40 company limited,2022,multipurpose oil bottle,household products,hdpe,single-layer,11.0,2022-09-03,2022-09-03,3.0,cuernavaca,morelos,mexico,north america,outdoor,freshwater,309,-99.2342282,18.9218274,city,1,0.0032362459546925
3 happy days,3 happy days,2021,plastic label,smoking materials,o,single-layer,2.0,2021-04-24,2021-04-24,1.0,mayaguez,mayaguez,puerto rico,north america,outdoor,coastal,18,67.1656,18.2063,other,2,0.111111111111111
3 musketeers,"mars, incorporated",2022,wrapper,food packaging,o,multi-layer,200.0,2022-09-17,2022-09-17,2.0,san francisco,california,united states of america,north america,outdoor,coastal,2339,122.4194,37.7749,city,7,0.0029927319367251
3 musketeers,"mars, incorporated",2021,wrapper,food packaging,o,single-layer,16.0,2021-04-24,2021-04-24,3.0,san francisco,california,united states of america,north america,outdoor,freshwater,345,122.4194,37.7749,city,1,0.0028985507246376
3 musketeers,"mars, incorporated",2022,wrapper,food packaging,pet,multi-layer,13.0,2022-08-04,2022-08-04,3.0,milwaukee,wisconsin,united states of america,north america,outdoor,coastal,201,-87.922497,43.0349931,city,1,0.0049751243781094
3 musketeers,"mars, incorporated",2021,wrapper,food packaging,ldpe,single-layer,16.0,2021-09-17,2021-09-17,3.0,milwaukee,wisconsin,united states of america,north america,outdoor,freshwater,101,-87.922497,43.0349931,city,1,0.0099009900990099
3 musketeers,"mars, incorporated",2021,candy wrapper,food packaging,o,multi-layer,62.0,2021-06-12,2021-06-12,3.5,fairhaven,massachusetts,united states of america,north america,outdoor,coastal,1858,-70.9036487,41.6376043,city,2,0.0010764262648008
3 musketeers,"mars, incorporated",2018,Unknown,other,Unknown,unsure,8.0,2018-09-15,2018-09-15,3.115933014354067,san francisco,california,united states of america,north america,outdoor,coastal,106,122.4194,37.7749,city,1,0.0094339622641509
3 musketeers,"mars, incorporated",2018,Unknown,other,Unknown,unsure,175.0,2018-09-15,2018-09-15,3.115933014354067,van nuys,california,united states of america,north america,outdoor,inland,436,-118.4486675,34.1866193,city,1,0.0022935779816513
3 musketeers,"mars, incorporated",2018,Unknown,other,Unknown,unsure,100.0,2018-09-15,2018-09-15,3.115933014354067,pacific palisades,california,united states of america,north america,outdoor,coastal,106,-118.5264706,34.0480643,city,2,0.0188679245283019
3 musketeers,"mars, incorporated",2018,Unknown,other,Unknown,unsure,15.0,2018-09-22,2018-09-22,3.115933014354067,boulder,co,united states of america,north america,outdoor,inland,139,-105.270241,40.0154155,city,1,0.0071942446043165
3/4ths of a 6ft cast net,unbranded,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
30 unscented candles,family dollar,2018,Unknown,other,Unknown,unsure,25.0,2018-09-15,2018-09-15,3.115933014354067,st. petersburg,Unknown,united states of america,north america,outdoor,coastal,466,-100.445882,39.7837304,state,8,0.0171673819742489
32 oz brown quart beer bottle,unbranded,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
32 oz wax paper cup,wendy's,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
375 ml glass bottle,unbranded,2018,Unknown,other,o,unsure,1.0,2018-09-13,2018-09-13,3.115933014354067,wakulla county florida,Unknown,united states of america,north america,outdoor,coastal,339,-100.445882,39.7837304,state,1,0.0029498525073746
3d gum,perfetti van melle,2018,Unknown,other,Unknown,unsure,100.0,2018-09-15,2018-09-15,3.115933014354067,pacific palisades,california,united states of america,north america,outdoor,coastal,106,-118.5264706,34.0480643,city,1,0.0094339622641509
3m,3m,2020,duct tap film,household products,pp,single-layer,5.0,2020-09-19,2020-09-19,2.0,redmond,wa,united states of america,north america,outdoor,coastal,228,-122.1238767,47.6694141,city,1,0.0043859649122807
3m,3m,2021,wrapper,other,pet,single-layer,Unknown,2021-09-18,2021-09-18,3.5,saint petersburg,florida,united states of america,north america,outdoor,coastal,193,-82.6695085,27.7703796,city,1,0.005181347150259
3m,3m,2018,Unknown,other,o,unsure,9.0,2018-09-22,2018-09-22,3.115933014354067,malibu,california,united states of america,north america,outdoor,coastal,84,-118.689423,34.035591,city,1,0.0119047619047619
3m,3m,2018,Unknown,other,Unknown,unsure,15.0,2018-09-22,2018-09-22,3.115933014354067,boulder,co,united states of america,north america,outdoor,inland,139,-105.270241,40.0154155,city,1,0.0071942446043165
4 k's,"good times, usa",2021,ciggirilo,smoking materials,ldpe,single-layer,40.0,2021-09-11,2021-09-11,4.0,los angeles,california,united states of america,north america,outdoor,freshwater,264,-118.0772433,33.8038865,city,1,0.0037878787878787
405 plastics,405 plastics,2021,big bottle,other,hdpe,single-layer,12.0,2021-07-06,2021-08-31,3.0,mahahual,quintana roo,mexico,north america,outdoor,coastal,1780,-87.70787,18.7165847,city,1,0.0005617977528089
40v,unbranded,2021,hair product,personal care,hdpe,single-layer,8.0,2021-02-23,2021-02-23,2.0,west bay,bay islands/ roatan,honduras,north america,outdoor,coastal,653,-86.5977278,16.2751591,city,1,0.001531393568147
5-hour energy,innovations ventures llc,2021,bottle,food packaging,pet,single-layer,11.0,2021-09-07,2021-09-07,6.0,waverly,missouri,united states of america,north america,outdoor,freshwater,3533,-93.5177118,39.2094637,city,7,0.0019813189923577
